hQuasiFermiPotential,X
none,none
0,-1.1503092
0,-1.0065207
0,-1.0065205
0,-0.93462634
0,-0.93462622
0,-0.86273205
0,-0.86273193
0,-0.86273164
0,-0.79083759
0,-0.75489056
0,-0.75489044
0,-0.71894336
0,-0.71894324
0,-0.68299621
0,-0.68299609
0,-0.64704907
0,-0.64704895
0,-0.62907541
0,-0.62907535
0,-0.61110181
0,-0.61110175
0,-0.59312826
0,-0.5931282
0,-0.58414143
0,-0.58414137
0,-0.57515466
0,-0.5751546
0,-0.56616789
0,-0.56616783
0,-0.56167442
0,-0.557181
0,-0.55493432
0,-0.55268764
0,-0.55044091
1.3182104,-0.55000067
1.3182154,-0.55000067
1.3182188,-0.54819423
1.3182224,-0.54594755
1.3182251,-0.54370081
1.3182268,-0.54145414
1.3182277,-0.53920746
1.3182281,-0.53696072
1.3182283,-0.53471404
1.3182283,-0.53246737
1.3182283,-0.53022063
1.3182284,-0.52572727
1.3182284,-0.52123386
1.3182284,-0.51224715
1.3182284,-0.51224709
1.3182284,-0.50775367
1.3182284,-0.50326025
1.3182285,-0.50101358
1.3182286,-0.4987669
1.3182288,-0.49652019
1.3182291,-0.49427348
1.3182295,-0.49202681
1.31823,-0.4897801
1.3182306,-0.48753339
1.3182313,-0.48528671
1.3182321,-0.48304
1.318233,-0.4807933
1.3182339,-0.47854662
1.3182349,-0.47629991
1.3182359,-0.4740532
1.3182368,-0.47180653
1.3182377,-0.46955982
1.3182385,-0.46731311
1.3182393,-0.46506643
1.3182401,-0.46281973
1.3182408,-0.46057302
1.3182414,-0.45832634
1.318242,-0.45607963
1.3182426,-0.45383292
1.3182431,-0.45158625
1.3182437,-0.44933954
1.3182441,-0.44709283
1.3182446,-0.44484615
1.318245,-0.44259945
1.3182454,-0.44035274
1.3182457,-0.43810606
1.318246,-0.43585935
1.3182463,-0.43361264
1.3182465,-0.43136597
1.3182468,-0.42911926
1.318247,-0.42687255
1.3182472,-0.42462587
1.3182474,-0.42237917
1.3182476,-0.42013246
1.3182477,-0.41788578
1.3182479,-0.41563907
1.318248,-0.41339236
1.3182482,-0.41114569
1.3182483,-0.40889898
1.3182484,-0.40665227
1.3182485,-0.40440559
1.3182486,-0.40215889
1.3182487,-0.39991218
1.3182488,-0.3976655
1.3182489,-0.39541879
1.318249,-0.39317209
1.3182491,-0.39092541
1.3182491,-0.3886787
1.3182492,-0.38643199
1.3182493,-0.38418531
1.3182493,-0.38193861
1.3182494,-0.3796919
1.3182494,-0.37744522
1.3182495,-0.37519851
